Competition,Matchday,Venue,Team,Opponent,Opponent_Position,Result,Position,Minute,At_Score,Type_of_Goal
LaLiga,17,H,FC Barcelona,(2.),Rayo Vallecano,Rayo Vallecano  (15.),4:0,CF,49',4:0
LaLiga,15,H,FC Barcelona,(2.),Levante UD,Levante  (4.),5:0,CF,55',4:0
FIFA Club World Cup,Finale,A,FC Barcelona,Santos FC,Santos,0:4,RW,17',0:1,Left-footed shot
82',0:4,Left-footed shot,,,,,,,,
Copa del Rey,Achtelfinale,H,FC Barcelona,CA Osasuna,CA Osasuna,4:0,CF,71',3:0,Header
90',4:0,Left-footed shot,,,,,,,,
LaLiga,19,H,FC Barcelona,(2.),Real Betis Balompié,Real Betis  (10.),4:2,CF,12',2:0
86',4:2,Penalty,,,,,,,,
LaLiga,1,A,FC Barcelona,(2.),Málaga CF,Málaga CF  (4.),1:4,CF,32',0:1
51',0:3,Left-footed shot,,,,,,,,
77',0:4,Left-footed shot,,,,,,,,
LaLiga,22,H,FC Barcelona,(2.),Real Sociedad,Real Sociedad  (14.),2:1,CF,72',2:0
UEFA Champions League,Achtelfinale,A,FC Barcelona,Bayer 04 Leverkusen,B. Leverkusen,1:3,CF,88',1:3,Left-footed shot
LaLiga,24,H,FC Barcelona,(2.),Valencia CF,Valencia  (3.),5:1,CF,21',1:1
27',2:1,Tap-in,,,,,,,,
75',3:1,Left-footed shot,,,,,,,,
84',4:1,Left-footed shot,,,,,,,,
LaLiga,25,A,FC Barcelona,(2.),Atlético de Madrid,Atlético Madrid  (6.),1:2,CF,79',1:2
UEFA Champions League,Achtelfinale,H,FC Barcelona,Bayer 04 Leverkusen,B. Leverkusen,7:1,CF,25',1:0,Left-footed shot
42',2:0,Left-footed shot,,,,,,,,
50',3:0,Right-footed shot,,,,,,,,
58',5:0,Left-footed shot,,,,,,,,
85',7:0,Left-footed shot,,,,,,,,
LaLiga,27,A,FC Barcelona,(2.),Racing Santander,Racing  (18.),0:2,CF,29',0:1
56',0:2,Penalty,,,,,,,,
LaLiga,28,A,FC Barcelona,(2.),Sevilla FC,Sevilla FC  (14.),0:2,CF,25',0:2
LaLiga,29,H,FC Barcelona,(2.),Granada CF,Granada CF  (14.),5:3,CF,16',2:0
66',3:2,Left-footed shot,,,,,,,,
85',5:2,Left-footed shot,,,,,,,,
LaLiga,30,A,FC Barcelona,(2.),RCD Mallorca,RCD Mallorca  (9.),0:2,CF,25',0:1
LaLiga,31,H,FC Barcelona,(2.),Athletic Bilbao,Athletic  (12.),2:0,CF,57',2:0
UEFA Champions League,Viertelfinale,H,FC Barcelona,AC Milan,AC Milan,3:1,RW,11',1:0,Penalty
42',2:1,Penalty,,,,,,,,
LaLiga,32,A,FC Barcelona,(2.),Real Zaragoza,Real Zaragoza  (18.),1:4,CF,39',1:2
86',1:3,Penalty,,,,,,,,
LaLiga,33,H,FC Barcelona,(2.),Getafe CF,Getafe  (7.),4:0,CF,44',2:0
LaLiga,34,A,FC Barcelona,(2.),Levante UD,Levante  (5.),1:2,CF,64',1:1
73',1:2,Penalty,,,,,,,,
LaLiga,36,A,FC Barcelona,(2.),Rayo Vallecano,Rayo Vallecano  (17.),0:7,CF,16',0:1
88',0:7,Left-footed shot,,,,,,,,
LaLiga,20,H,FC Barcelona,(2.),Málaga CF,Málaga CF  (10.),4:1,CF,34',2:1
60',3:1,Penalty,,,,,,,,
63',4:1,Left-footed shot,,,,,,,,
LaLiga,37,H,FC Barcelona,(2.),RCD Espanyol Barcelona,Espanyol  (13.),4:0,CF,11',1:0
63',2:0,Penalty,,,,,,,,
73',3:0,Left-footed shot,,,,,,,,
78',4:0,Penalty,,,,,,,,
Copa del Rey,Finale,H,FC Barcelona,Athletic Bilbao,Athletic,3:0,CF,20',2:0,Right-footed shot
Season 12/13,,,,,,,,,,
LaLiga,1,H,FC Barcelona,(1.),Real Sociedad,Real Sociedad  (4.),5:1,CF,11',2:1
16',3:1,Left-footed shot,,,,,,,,
Supercopa,Finale,H,FC Barcelona,Real Madrid,Real Madrid,3:2,CF,70',2:1,Penalty
LaLiga,2,A,FC Barcelona,(1.),CA Osasuna,CA Osasuna  (19.),1:2,CF,76',1:1
80',1:2,Left-footed shot,,,,,,,,
Supercopa,Finale,A,FC Barcelona,Real Madrid,Real Madrid,2:1,CF,45',2:1,Direct free kick
LaLiga,4,A,FC Barcelona,(1.),Getafe CF,Getafe  (9.),1:4,CF,74',0:2
78',0:3,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,H,FC Barcelona,Spartak Moscow,Spartak Moscow,3:2,CF,71',2:2,Left-footed shot
80',3:2,Header,,,,,,,,
LaLiga,7,H,FC Barcelona,(1.),Real Madrid,Real Madrid  (6.),2:2,CF,31',1:1
60',2:1,Direct free kick,,,,,,,,
LaLiga,8,A,FC Barcelona,(1.),Deportivo de La Coruña,Dep. La Coruña  (18.),4:5,CF,17',0:3
43',2:4,Left-footed shot,,,,,,,,
76',3:5,Left-footed shot,,,,,,,,
LaLiga,9,A,FC Barcelona,(1.),Rayo Vallecano,Rayo Vallecano  (12.),0:5,CF,48',0:2
89',0:5,Right-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,A,FC Barcelona,Celtic FC,Celtic,2:1,CF,90'+1,2:1,Tap-in
LaLiga,11,A,FC Barcelona,(1.),RCD Mallorca,RCD Mallorca  (13.),2:4,CF,43',0:2
70',2:4,Left-footed shot,,,,,,,,
LaLiga,12,H,FC Barcelona,(1.),Real Zaragoza,Real Zaragoza  (10.),3:1,CF,15',1:0
60',3:1,Left-footed shot,,,,,,,,
UEFA Champions League,Gruppenphase,A,FC Barcelona,Spartak Moscow,Spartak Moscow,0:3,CF,27',0:2,Right-footed shot
39',0:3,Left-footed shot,,,,,,,,
LaLiga,13,A,FC Barcelona,(1.),Levante UD,Levante  (4.),0:4,CF,46',0:1
51',0:2,Left-footed shot,,,,,,,,
LaLiga,14,H,FC Barcelona,(1.),Athletic Bilbao,Athletic  (14.),5:1,CF,25',2:0
70',5:1,Right-footed shot,,,,,,,,
LaLiga,15,A,FC Barcelona,(1.),Real Betis Balompié,Real Betis  (4.),1:2,CF,16',0:1
25',0:2,Left-footed shot,,,,,,,,
Copa del Rey,Achtelfinale,A,FC Barcelona,Córdoba CF,Córdoba CF,0:2,CF,10',0:1,Left-footed shot
73',0:2,Left-footed shot,,,,,,,,
LaLiga,16,H,FC Barcelona,(1.),Atlético de Madrid,Atlético Madrid  (2.),4:1,CF,58',3:1
88',4:1,Left-footed shot,,,,,,,,
LaLiga,17,A,FC Barcelona,(1.),Real Valladolid CF,Real Valladolid  (8.),1:3,CF,59',0:2
LaLiga,18,H,FC Barcelona,(1.),RCD Espanyol Barcelona,Espanyol  (18.),4:0,CF,28',4:0
LaLiga,19,A,FC Barcelona,(1.),Málaga CF,Málaga CF  (4.),1:3,CF,26',0:1
Copa del Rey,Viertelfinale,H,FC Barcelona,Málaga CF,Málaga CF,2:2,CF,29',1:1,Left-footed shot
LaLiga,20,A,FC Barcelona,(1.),Real Sociedad,Real Sociedad  (9.),3:2,CF,6',0:1
Copa del Rey,Viertelfinale,A,FC Barcelona,Málaga CF,Málaga CF,2:4,CF,79',2:4,Header
LaLiga,21,H,FC Barcelona,(1.),CA Osasuna,CA Osasuna  (18.),5:1,CF,11',1:0
28',2:1,Penalty,,,,,,,,
56',4:1,Left-footed shot,,,,,,,,
58',5:1,Left-footed shot,,,,,,,,
LaLiga,22,A,FC Barcelona,(1.),Valencia CF,Valencia  (8.),1:1,CF,39',1:1
LaLiga,23,H,FC Barcelona,(1.),Getafe CF,Getafe  (11.),6:1,CF,13',2:0
LaLiga,24,A,FC Barcelona,(1.),Granada CF,Granada CF  (15.),1:2,CF,49',1:1
73',1:2,Direct free kick,,,,,,,,
